,Age,Survived
0,0.42,1
1,0.67,1
2,0.75,1
3,0.75,1
4,0.83,1
5,0.83,1
6,0.92,1
7,1.0,0
8,1.0,0
9,1.0,1
10,1.0,1
11,1.0,1
12,1.0,1
13,1.0,1
14,2.0,0
15,2.0,0
16,2.0,0
17,2.0,0
18,2.0,0
19,2.0,0
20,2.0,0
21,2.0,1
22,2.0,1
23,2.0,1
24,2.0,1
25,3.0,0
26,3.0,0
27,3.0,1
28,3.0,1
29,3.0,1
30,3.0,1
31,3.0,1
32,4.0,0
33,4.0,0
34,4.0,0
35,4.0,1
36,4.0,1
37,4.0,1
38,4.0,1
39,4.0,1
40,4.0,1
41,4.0,1
42,4.0,1
43,5.0,0
44,5.0,0
45,5.0,1
46,5.0,1
47,5.0,1
48,5.0,1
49,6.0,0
50,6.0,1
51,6.0,1
52,7.0,0
53,7.0,0
54,7.0,0
55,7.0,1
56,7.0,1
57,8.0,0
58,8.0,0
59,8.0,0
60,8.0,0
61,8.0,1
62,8.0,1
63,9.0,0
64,9.0,0
65,9.0,0
66,9.0,0
67,9.0,0
68,9.0,0
69,9.0,1
70,9.0,1
71,10.0,0
72,10.0,0
73,11.0,0
74,11.0,0
75,11.0,0
76,11.0,1
77,12.0,0
78,12.0,1
79,13.0,1
80,13.0,1
81,14.0,0
82,14.0,0
83,14.0,0
84,14.0,0
85,14.0,1
86,14.0,1
87,14.0,1
88,14.5,0
89,15.0,0
90,15.0,1
91,15.0,1
92,15.0,1
93,15.0,1
94,16.0,0
95,16.0,0
96,16.0,0
97,16.0,0
98,16.0,0
99,16.0,0
100,16.0,0
101,16.0,0
102,16.0,0
103,16.0,0
104,16.0,0
105,16.0,0
106,16.0,0
107,16.0,1
108,16.0,1
109,16.0,1
110,16.0,1
111,16.0,1
112,16.0,1
113,16.0,1
114,17.0,0
115,17.0,0
116,17.0,0
117,17.0,0
118,17.0,0
119,17.0,0
120,17.0,0
121,17.0,0
122,17.0,0
123,17.0,0
124,17.0,1
125,17.0,1
126,17.0,1
127,17.0,1
128,17.0,1
129,17.0,1
130,18.0,0
131,18.0,0
132,18.0,0
133,18.0,0
134,18.0,0
135,18.0,0
136,18.0,0
137,18.0,0
138,18.0,0
139,18.0,0
140,18.0,0
141,18.0,0
142,18.0,0
143,18.0,0
144,18.0,0
145,18.0,0
146,18.0,0
147,18.0,0
148,18.0,0
149,18.0,0
150,18.0,0
151,18.0,0
152,18.0,0
153,18.0,1
154,18.0,1
155,18.0,1
156,18.0,1
157,18.0,1
158,18.0,1
159,18.0,1
160,18.0,1
161,18.0,1
162,18.0,1
163,18.0,1
164,18.0,1
165,18.0,1
166,19.0,0
167,19.0,0
168,19.0,0
169,19.0,0
170,19.0,0
171,19.0,0
172,19.0,0
173,19.0,0
174,19.0,0
175,19.0,0
176,19.0,0
177,19.0,0
178,19.0,0
179,19.0,0
180,19.0,0
181,19.0,0
182,19.0,0
183,19.0,0
184,19.0,0
185,19.0,0
186,19.0,0
187,19.0,0
188,19.0,1
189,19.0,1
190,19.0,1
191,19.0,1
192,19.0,1
193,19.0,1
194,19.0,1
195,19.0,1
196,19.0,1
197,19.0,1
198,19.0,1
199,20.0,0
200,20.0,0
201,20.0,0
202,20.0,0
203,20.0,0
204,20.0,0
205,20.0,0
206,20.0,0
207,20.0,0
208,20.0,0
209,20.0,0
210,20.0,0
211,20.0,0
212,20.0,0
213,20.0,0
214,20.0,0
215,20.0,0
216,20.0,0
217,20.0,0
218,20.0,1
219,20.0,1
220,20.0,1
221,20.0,1
222,20.5,0
223,21.0,0
224,21.0,0
225,21.0,0
226,21.0,0
227,21.0,0
228,21.0,0
229,21.0,0
230,21.0,0
231,21.0,0
232,21.0,0
233,21.0,0
234,21.0,0
235,21.0,0
236,21.0,0
237,21.0,0
238,21.0,0
239,21.0,0
240,21.0,0
241,21.0,0
242,21.0,0
243,21.0,0
244,21.0,0
245,21.0,0
246,21.0,0
247,21.0,0
248,21.0,0
249,21.0,0
250,21.0,0
251,21.0,1
252,21.0,1
253,21.0,1
254,21.0,1
255,21.0,1
256,21.0,1
257,22.0,0
258,22.0,0
259,22.0,0
260,22.0,0
261,22.0,0
262,22.0,0
263,22.0,0
264,22.0,0
265,22.0,0
266,22.0,0
267,22.0,0
268,22.0,0
269,22.0,0
270,22.0,0
271,22.0,0
272,22.0,0
273,22.0,0
274,22.0,0
275,22.0,0
276,22.0,0
277,22.0,0
278,22.0,0
279,22.0,0
280,22.0,0
281,22.0,1
282,22.0,1
283,22.0,1
284,22.0,1
285,22.0,1
286,22.0,1
287,22.0,1
288,22.0,1
289,22.0,1
290,22.0,1
291,22.0,1
292,22.0,1
293,22.0,1
294,22.0,1
295,22.0,1
296,23.0,0
297,23.0,0
298,23.0,0
299,23.0,0
300,23.0,0
301,23.0,0
302,23.0,0
303,23.0,0
304,23.0,0
305,23.0,0
306,23.0,0
307,23.0,0
308,23.0,0
309,23.0,0
310,23.0,0
311,23.0,0
