,Name,Sex,Age,Survived
0,Mr. Owen Harris Braund,male,22.0,0
1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38.0,1
2,Miss. Laina Heikkinen,female,26.0,1
3,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35.0,1
4,Mr. William Henry Allen,male,35.0,0
5,Mr. James Moran,male,27.0,0
6,Mr. Timothy J McCarthy,male,54.0,0
7,Master. Gosta Leonard Palsson,male,2.0,0
8,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27.0,1
9,Mrs. Nicholas (Adele Achem) Nasser,female,14.0,1
10,Miss. Marguerite Rut Sandstrom,female,4.0,1
11,Miss. Elizabeth Bonnell,female,58.0,1
12,Mr. William Henry Saundercock,male,20.0,0
13,Mr. Anders Johan Andersson,male,39.0,0
14,Miss. Hulda Amanda Adolfina Vestrom,female,14.0,0
15,Mrs. (Mary D Kingcome) Hewlett,female,55.0,1
16,Master. Eugene Rice,male,2.0,0
17,Mr. Charles Eugene Williams,male,23.0,1
18,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31.0,0
19,Mrs. Fatima Masselmani,female,22.0,1
20,Mr. Joseph J Fynney,male,35.0,0
21,Mr. Lawrence Beesley,male,34.0,1
22,Miss. Anna McGowan,female,15.0,1
23,Mr. William Thompson Sloper,male,28.0,1
24,Miss. Torborg Danira Palsson,female,8.0,0
25,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,38.0,1
26,Mr. Farred Chehab Emir,male,26.0,0
27,Mr. Charles Alexander Fortune,male,19.0,0
28,Miss. Ellen O'Dwyer,female,24.0,1
29,Mr. Lalio Todoroff,male,23.0,0
30,Don. Manuel E Uruchurtu,male,40.0,0
31,Mrs. William Augustus (Marie Eugenie) Spencer,female,48.0,1
32,Miss. Mary Agatha Glynn,female,18.0,1
33,Mr. Edward H Wheadon,male,66.0,0
34,Mr. Edgar Joseph Meyer,male,28.0,0
35,Mr. Alexander Oskar Holverson,male,42.0,0
36,Mr. Hanna Mamee,male,18.0,1
37,Mr. Ernest Charles Cann,male,21.0,0
38,Miss. Augusta Maria Vander Planke,female,18.0,0
39,Miss. Jamila Nicola-Yarred,female,14.0,1
40,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,40.0,0
41,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,27.0,0
42,Miss. Simonne Marie Anne Andree Laroche,female,3.0,1
43,Miss. Margaret Delia Devaney,female,19.0,1
44,Mr. William John Rogers,male,30.0,0
45,Mr. Denis Lennon,male,20.0,0
46,Miss. Bridget O'Driscoll,female,27.0,1
47,Mr. Youssef Samaan,male,16.0,0
48,Mrs. Josef (Josefine Franchi) Arnold-Franchi,female,18.0,0
49,Master. Juha Niilo Panula,male,7.0,0
50,Mr. Richard Cater Nosworthy,male,21.0,0
51,Mrs. Henry Sleeper (Myna Haxtun) Harper,female,49.0,1
52,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,29.0,1
53,Mr. Engelhart Cornelius Ostby,male,65.0,0
54,Mr. Hugh Woolner,male,46.0,1
55,Miss. Emily Rugg,female,21.0,1
56,Mr. Mansouer Novel,male,28.5,0
57,Miss. Constance Mirium West,female,5.0,1
58,Master. William Frederick Goodwin,male,11.0,0
59,Mr. Orsen Sirayanian,male,22.0,0
60,Miss. Amelie Icard,female,38.0,1
61,Mr. Henry Birkhardt Harris,male,45.0,0
62,Master. Harald Skoog,male,4.0,0
63,Mr. Albert A Stewart,male,64.0,0
64,Master. Gerios Moubarek,male,7.0,1
65,Mrs. (Elizabeth Ramell) Nye,female,29.0,1
66,Mr. Ernest James Crease,male,19.0,0
67,Miss. Erna Alexandra Andersson,female,17.0,1
68,Mr. Vincenz Kink,male,26.0,0
69,Mr. Stephen Curnow Jenkin,male,32.0,0
70,Miss. Lillian Amy Goodwin,female,16.0,0
71,Mr. Ambrose Jr Hood,male,21.0,0
72,Mr. Apostolos Chronopoulos,male,26.0,0
73,Mr. Lee Bing,male,32.0,1
74,Mr. Sigurd Hansen Moen,male,25.0,0
75,Mr. Ivan Staneff,male,23.0,0
76,Mr. Rahamin Haim Moutal,male,28.0,0
77,Master. Alden Gates Caldwell,male,0.83,1
78,Miss. Elizabeth Dowdell,female,30.0,1
79,Mr. Achille Waelens,male,22.0,0
80,Mr. Jan Baptist Sheerlinck,male,29.0,1
81,Miss. Brigdet Delia McDermott,female,31.0,1
82,Mr. Francisco M Carrau,male,28.0,0
83,Miss. Bertha Ilett,female,17.0,1
84,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33.0,1
85,Mr. William Neal Ford,male,16.0,0
86,Mr. Selman Francis Slocovski,male,20.0,0
87,Miss. Mabel Helen Fortune,female,23.0,1
88,Mr. Francesco Celotti,male,24.0,0
89,Mr. Emil Christmann,male,29.0,0
90,Mr. Paul Edvin Andreasson,male,20.0,0
91,Mr. Herbert Fuller Chaffee,male,46.0,0
92,Mr. Bertram Frank Dean,male,26.0,0
93,Mr. Daniel Coxon,male,59.0,0
94,Mr. Charles Joseph Shorney,male,22.0,0
95,Mr. George B Goldschmidt,male,71.0,0
96,Mr. William Bertram Greenfield,male,23.0,1
97,Mrs. John T (Ada Julia Bone) Doling,female,34.0,1
98,Mr. Sinai Kantor,male,34.0,0
99,Miss. Matilda Petranec,female,28.0,0
100,Mr. Pastcho Petroff,male,29.0,0
101,Mr. Richard Frasar White,male,21.0,0
102,Mr. Gustaf Joel Johansson,male,33.0,0
103,Mr. Anders Vilhelm Gustafsson,male,37.0,0
104,Mr. Stoytcho Mionoff,male,28.0,0
105,Miss. Anna Kristine Salkjelsvik,female,21.0,1
106,Mr. Albert Johan Moss,male,29.0,1
107,Mr. Tido Rekic,male,38.0,0
108,Miss. Bertha Moran,female,28.0,1
109,Mr. Walter Chamberlain Porter,male,47.0,0
110,Miss. Hileni Zabour,female,14.5,0
111,Mr. David John Barton,male,22.0,0
112,Miss. Katriina Jussila,female,20.0,0
113,Miss. Malake Attalah,female,17.0,0
114,Mr. Edvard Pekoniemi,male,21.0,0
115,Mr. Patrick Connors,male,70.5,0
116,Mr. William John Robert Turpin,male,29.0,0
117,Mr. Quigg Edmond Baxter,male,24.0,0
118,Miss. Ellis Anna Maria Andersson,female,2.0,0
119,Mr. Stanley George Hickman,male,21.0,0
120,Mr. Leonard Charles Moore,male,19.0,0
121,Mr. Nicholas Nasser,male,32.5,0
122,Miss. Susan Webber,female,32.5,1
123,Mr. Percival Wayland White,male,54.0,0
124,Master. Elias Nicola-Yarred,male,12.0,1
125,Mr. Martin McMahon,male,19.0,0
126,Mr. Fridtjof Arne Madsen,male,24.0,1
127,Miss. Anna Peter,female,2.0,1
128,Mr. Johan Ekstrom,male,45.0,0
129,Mr. Jozef Drazenoic,male,33.0,0
130,Mr. Domingos Fernandeo Coelho,male,20.0,0
131,Mrs. Alexander A (Grace Charity Laury) Robins,female,47.0,0
132,Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,29.0,1
133,Mr. Samuel James Hayden Sobey,male,25.0,0
134,Mr. Emile Richard,male,23.0,0
135,Miss. Helen Monypeny Newsom,female,19.0,1
136,Mr. Jacques Heath Futrelle,male,37.0,0
137,Mr. Olaf Elon Osen,male,16.0,0
138,Mr. Victor Giglio,male,24.0,0
139,Mrs. Joseph (Sultana) Boulos,female,40.0,0
140,Miss. Anna Sofia Nysten,female,22.0,1
141,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,24.0,1
142,Mr. Jeremiah Burke,male,19.0,0
